shop_type,generated_query,query_score,query_generation_reason,search_query,google_rank,google_result_url,myshopify_domain,final_url,canonical_url,resolved_domain,store_name,email,email_source_url,phone,phone_source_url,contact_url,social_profiles,additional_information,shopify_confidence,relevance_score,lead_score,status,rejection_reason,error
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,10,https://chapter-2-cycle.myshopify.com/products/altalist-kisou-pxc-photochromic-performance-eyewear,chapter-2-cycle.myshopify.com,https://www.chapter2cycle.sg/products/altalist-kisou-pxc-photochromic-performance-eyewear?shpxid=8d04ab7e-50e9-4edb-b3f7-e3b0dac9bd25,https://www.chapter2cycle.sg/products/altalist-kisou-pxc-photochromic-performance-eyewear,chapter2cycle.sg,Altalist Kisou PXC Mountain Sports Sunglasses (Photochromic),chapter2cycle.sg@gmail.com,https://www.chapter2cycle.sg/products/altalist-kisou-pxc-photochromic-performance-eyewear?shpxid=8d04ab7e-50e9-4edb-b3f7-e3b0dac9bd25,45317619384458,https://www.chapter2cycle.sg/products/altalist-kisou-pxc-photochromic-performance-eyewear?shpxid=8d04ab7e-50e9-4edb-b3f7-e3b0dac9bd25,https://www.chapter2cycle.sg/pages/contact,"[""https://www.facebook.com/chapter2cycle"",""https://www.instagram.com/chapter2cycle/"",""https://www.youtube.com/channel/UCeKR6_nlCRTlGPnRFkdim9g"",""https://www.facebook.com/sharer.php"",""https://twitter.com/share""]",pages_examined=5,100,80,94,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,1,https://blenderseyewear-com.myshopify.com/products/better-biz-blue-light-glasses,blenderseyewear-com.myshopify.com,https://www.blenderseyewear.com/,https://www.blenderseyewear.com/,blenderseyewear.com,Blenders Eyewear,,,6856114,https://www.blenderseyewear.com/,https://www.blenderseyewear.com/pages/blenders-eyewear-contact-us,"[""https://www.facebook.com/blenders/"",""https://x.com/BlendersEyewear"",""https://www.linkedin.com/company/blenderseyewear"",""https://www.youtube.com/@BlendersEyewear1"",""https://www.instagram.com/blenders/"",""https://www.tiktok.com/@blenders"",""https://www.facebook.com/about/privacy/previous"",""https://help.instagram.com/519522125107875"",""https://help.instagram.com/196883487377501""]",pages_examined=5; duplicate_results=1,100,100,88,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,2,https://barner-eyewear.myshopify.com/products/shoreditch-havana-man?variant=23347041894458,barner-eyewear.myshopify.com,https://barnerbrand.com/products/shoreditch?variant=23347041894458,https://barnerbrand.com/products/shoreditch,barnerbrand.com,Shoreditch,support@barnerbrand.com,https://barnerbrand.com/products/shoreditch?variant=23347041894458,1000000,https://barnerbrand.com/products/shoreditch?variant=23347041894458,,"[""https://www.instagram.com/barnerbrand/"",""https://www.tiktok.com/@barnerbrand.com"",""https://www.youtube.com/@BARNERBRAND"",""https://www.facebook.com/barnerbrand/""]",pages_examined=5,100,100,96,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,3,https://benicci.myshopify.com/products/anti-blue-light-glasses?sca_source=,benicci.myshopify.com,https://benicci.com/products/anti-blue-light-glasses?sca_source=,https://benicci.com/products/anti-blue-light-glasses,benicci.com,Benicci,care@benicci.com,https://benicci.com/products/anti-blue-light-glasses?sca_source=,+18332364224,https://benicci.com/products/anti-blue-light-glasses?sca_source=,https://benicci.com/pages/contact,"[""https://www.facebook.com/beniccibrand/"",""https://www.pinterest.com/beniccibrand/"",""https://www.instagram.com/beniccibrand/"",""https://www.tiktok.com/@beniccibrand"",""https://www.youtube.com/@benicci""]",pages_examined=5,100,100,100,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,4,https://gabriel-simone.myshopify.com/products/sasha,gabriel-simone.myshopify.com,https://gabrielsimone.com/products/sasha,https://gabrielsimone.com/products/sasha,gabrielsimone.com,Sasha,info@gabrielsimone.com,https://gabrielsimone.com/pages/contact,100150200250300,https://gabrielsimone.com/products/sasha,https://gabrielsimone.com/pages/contact,"[""https://www.instagram.com/gabrielandsimone/"",""https://www.facebook.com/sharer.php"",""https://pinterest.com/pin/create/button/"",""https://twitter.com/share""]",pages_examined=4,100,100,100,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,5,https://glas-eyewear-ab.myshopify.com/products/elin-smoky-hazel-blue-light,glas-eyewear-ab.myshopify.com,https://www.glaseyewear.com/products/elin-smoky-hazel-blue-light,https://www.glaseyewear.com/products/elin-smoky-hazel-blue-light,glaseyewear.com,GLAS Eyewear,customerservice@glaseyewear.com,https://www.glaseyewear.com/pages/contact,1234567,https://www.glaseyewear.com/products/elin-smoky-hazel-blue-light,https://www.glaseyewear.com/pages/glas-help-center,"[""https://www.linkedin.com/company/glas-scandinavia-ab/jobs/"",""https://www.facebook.com/wearglasofficial"",""https://www.instagram.com/glas.eyewear"",""https://www.tiktok.com/@glas.eyewear"",""https://www.instagram.com/glas.eyewear/""]",pages_examined=5,100,100,100,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,6,https://dr-robert-melillo.myshopify.com/products/eyelights-for-therapy,dr-robert-melillo.myshopify.com,https://dr-robert-melillo.myshopify.com/products/eyelights-for-therapy,https://dr-robert-melillo.myshopify.com/products/eyelights-for-therapy,dr-robert-melillo.myshopify.com,Dr. Robert Melillo,,,43754771644592,https://dr-robert-melillo.myshopify.com/products/zeolite-extra-strength-for-total-body-detoxification-and-immune-system-support,https://dr-robert-melillo.myshopify.com/products/zeolite-extra-strength-for-total-body-detoxification-and-immune-system-support,"[""https://www.facebook.com/sharer.php"",""https://twitter.com/share"",""https://pinterest.com/pin/create/button/"",""https://www.facebook.com/DrRobertMelillo/"",""https://twitter.com/DrRobMelillo"",""https://www.pinterest.com/DrRobertMelillo/pins/follow/"",""https://www.instagram.com/DrRobertMelillo/""]",pages_examined=5,100,80,76,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,7,https://ocushield-live.myshopify.com/products/anti-blue-light-filter-laptop-computer-screen,ocushield-live.myshopify.com,https://www.ocushield.com/products/anti-blue-light-filter-laptop-computer-screen,https://www.ocushield.com/products/anti-blue-light-filter-laptop-computer-screen,ocushield.com,Home,customerservice@ocushield.com,https://www.ocushield.com/products/anti-blue-light-filter-laptop-computer-screen,36073833037983,https://www.ocushield.com/products/anti-blue-light-filter-laptop-computer-screen,,"[""https://www.instagram.com/getocushield/"",""https://www.facebook.com/getocushield/"",""https://www.youtube.com/channel/UCiCiSjO3g9gIyC2bJKkVXIA"",""https://twitter.com/GetOcuShield"",""https://www.instagram.com/dhruvinpatel/"",""https://www.instagram.com/lifeofdeseye/"",""https://www.linkedin.com/in/gemmaclare/"",""https://www.youtube.com/watch""]",pages_examined=5,100,80,90,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,8,https://bonnie-clyde-la.myshopify.com/products/baby-tortoise-clear,bonnie-clyde-la.myshopify.com,https://bonnie-clyde-la.myshopify.com/products/baby-tortoise-clear,https://bonnieclyde.la/products/baby-tortoise-clear,bonnieclyde.la,Baby,support@bonnieclyde.la,https://bonnie-clyde-la.myshopify.com/pages/support-help-center,,,https://bonnie-clyde-la.myshopify.com/pages/support-help-center,"[""https://www.instagram.com/bonnieclyde/""]",pages_examined=5; duplicate_results=1,100,80,87,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,9,https://diffeyewear.myshopify.com/products/sandra-light-pink-crystal-dusk-gradient-sunglasses?utm_source=Klaviyo&utm_medium=email&utm_campaign=2024-08-04-PRODUCT%20RECS%20%2801J420N45ZQ7YZQZS28ATB3814%29&utm_id=01J420N45ZQ7YZQZS28ATB3814&utm_klaviyo_id=01G5K3D4NJSX6WAJ9R18P3SNVJ&nb_klid=01G5K3D4NJSX6WAJ9R18P3SNVJ&_kx=21BHARhp3RVEpe7RFWzjnit-L3j7-C2BgOn61G9sVELN4I9D99UaYOQwqE1pDf4TIWlWo_TTrESb6NibXBpatQ.dq4bk6,diffeyewear.myshopify.com,https://www.diffeyewear.com/products/sandra-light-pink-crystal-dusk-gradient-sunglasses?utm_source=Klaviyo&utm_medium=email&utm_campaign=2024-08-04-PRODUCT%20RECS%20%2801J420N45ZQ7YZQZS28ATB3814%29&utm_id=01J420N45ZQ7YZQZS28ATB3814&utm_klaviyo_id=01G5K3D4NJSX6WAJ9R18P3SNVJ&nb_klid=01G5K3D4NJSX6WAJ9R18P3SNVJ&_kx=21BHARhp3RVEpe7RFWzjnit-L3j7-C2BgOn61G9sVELN4I9D99UaYOQwqE1pDf4TIWlWo_TTrESb6NibXBpatQ.dq4bk6,https://www.diffeyewear.com/products/sandra-light-pink-crystal-dusk-gradient-sunglasses,diffeyewear.com,SANDRA - LIGHT PINK CRYSTAL + DUSK GRADIENT SUNGLASSES,,,,,https://www.diffeyewear.com/pages/help-and-faq,"[""https://www.facebook.com/diffeyewear/"",""https://twitter.com/diffeyewear"",""https://pinterest.com/diffeyewear"",""https://instagram.com/diffeyewear"",""https://www.youtube.com/channel/UC5EZQf4L1JHm9k5sNBetRjw"",""https://www.tiktok.com/@diffeyewear"",""https://www.youtube.com/watch""]",pages_examined=5,100,100,81,qualified,,
eyewear,site:myshopify.com/products blue light glasses,100,Directly matches frequent Shopify product-title vocabulary.,site:myshopify.com/products blue light glasses,10,https://redspec.myshopify.com/products/mirage-night,redspec.myshopify.com,https://redspec.co/products/mirage-night,https://redspec.co/products/mirage-night,redspec.co,Mirage Evening,see@redspec.co,https://redspec.co/pages/contact,1120050,https://redspec.co/products/mirage-night,https://redspec.co/pages/contact,"[""https://www.instagram.com/redspec.co/""]",pages_examined=5,100,100,100,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,1,https://fog-x.myshopify.com/products/fog-x,fog-x.myshopify.com,https://fogxsolutions.com/products/fog-x,https://fogxsolutions.com/products/fog-x,fogxsolutions.com,Fog-X,info@fogxsolutions.com,https://fogxsolutions.com/products/fog-x,,,https://fogxsolutions.com/pages/contact-us,"[""https://www.facebook.com/sharer.php"",""https://www.facebook.com/fogxsolutions"",""https://www.instagram.com/fogx_solutions/"",""https://www.youtube.com/@fogxsolutions""]",pages_examined=5,100,100,93,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,2,https://baby-banz.myshopify.com/products/uv-anti-fog-swim-goggles,baby-banz.myshopify.com,https://usa.banzworld.com/products/uv-anti-fog-swim-goggles,https://usa.banzworld.com/products/uv-anti-fog-swim-goggles,usa.banzworld.com,BANZ® Carewear USA,,,6602384256,https://usa.banzworld.com/products/uv-anti-fog-swim-goggles,https://usa.banzworld.com/pages/sensory-support-for-families,"[""http://twitter.com/banzcarewear"",""http://facebook.com/banzcarewear"",""http://pinterest.com/banzcarewear"",""http://instagram.com/banzcarewear"",""http://tiktok.com/banzcarewear"",""http://youtube.com/babybanzinc"",""https://www.instagram.com/""]",pages_examined=5,100,100,88,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,3,https://banburycrosskids.myshopify.com/products/the-maze-swim-goggles,banburycrosskids.myshopify.com,https://banburycrosskids.myshopify.com/products/the-maze-swim-goggles,https://banburycrosskids.myshopify.com/products/the-maze-swim-goggles,banburycrosskids.myshopify.com,banburycrosskids,banburycrosskids@gmail.com,https://banburycrosskids.myshopify.com/pages/contact-us,700055048370447,https://banburycrosskids.myshopify.com/pages/contact-us,https://banburycrosskids.myshopify.com/pages/contact-us,"[""https://www.facebook.com/sharer.php"",""https://twitter.com/share"",""https://pinterest.com/pin/create/button/""]",pages_examined=5,100,100,94,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,4,https://swim-play-connect.myshopify.com/products/anti-fog-kids-swimming-goggles,swim-play-connect.myshopify.com,https://swim-play-connect.myshopify.com/products/anti-fog-kids-swimming-goggles,https://swim-play-connect.myshopify.com/products/anti-fog-kids-swimming-goggles,swim-play-connect.myshopify.com,Swim Play Connect,,,,,https://swim-play-connect.myshopify.com/pages/contact-us,"[""https://www.facebook.com/Camping-Quarters-106435310041415/"",""https://www.instagram.com/splashandswimtoys/""]",pages_examined=4,100,80,69,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,5,https://roka.myshopify.com/products/silicone-swim-cap,roka.myshopify.com,https://rokamultisport.com/products/silicone-swim-cap,https://rokamultisport.com/products/silicone-swim-cap,rokamultisport.com,Pro Team Silicone Swim Cap,support@rokamultisport.com,https://rokamultisport.com/pages/privacy-policy,48140845,https://rokamultisport.com/products/silicone-swim-cap,https://rokamultisport.com/pages/help,"[""https://instagram.com/rokamultisport""]",pages_examined=5,100,80,94,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,6,https://mermaidstail.myshopify.com/products/swimming-hat-goggles-set,mermaidstail.myshopify.com,https://mermaidstail.myshopify.com/products/swimming-hat-goggles-set,https://mermaidstail.myshopify.com/products/swimming-hat-goggles-set,mermaidstail.myshopify.com,Mermaids Tail,support@mermaidstail.co.uk,https://mermaidstail.myshopify.com/products/swimming-hat-goggles-set,+441234352488,https://mermaidstail.myshopify.com/products/swimming-hat-goggles-set,https://mermaidstail.myshopify.com/pages/contact-us,"[""https://twitter.com/MermaidsTail2"",""https://www.facebook.com/MerTailUK"",""https://www.youtube.com/channel/UCj-Tr52D9nyD9Vjk00a_Nnw"",""https://www.instagram.com/m.e.r.m.a.i.d.s_tail/""]",pages_examined=5,100,100,94,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,7,https://outdoormastershop.myshopify.com/products/mips-bike-helmet-gem,outdoormastershop.myshopify.com,https://outdoormaster.com/products/mips-bike-helmet-gem,https://outdoormaster.com/products/mips-bike-helmet-gem,outdoormaster.com,,,,,,,[],"{""passwordProtected"":true,""textLength"":11140,""queryTerms"":[""swim"",""goggles""]}",100,100,75,rejected,inactive_store,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,8,https://wilsonandhunter.myshopify.com/products/swimming-googles-watermelon,wilsonandhunter.myshopify.com,https://wilsonandhunter.myshopify.com/products/swimming-googles-watermelon,https://wilsonandhunter.myshopify.com/products/swimming-googles-watermelon,wilsonandhunter.myshopify.com,Wilson and Hunter,wilsonandhunter@hotmail.com,https://wilsonandhunter.myshopify.com/pages/contact-us,0431332973,https://wilsonandhunter.myshopify.com/pages/contact-us,https://wilsonandhunter.myshopify.com/pages/contact-us,"[""https://www.facebook.com/wilsonandhunter2320"",""https://instagram.com/wilsonandhunter"",""https://www.facebook.com/sharer.php"",""https://twitter.com/home"",""https://pinterest.com/pin/create/button/""]",pages_examined=4,100,80,88,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,9,https://pool-fun-zone.myshopify.com/products/swimming-goggles-with-ear-and-hair-protection,pool-fun-zone.myshopify.com,https://pool-fun-zone.myshopify.com/products/swimming-goggles-with-ear-and-hair-protection,https://pool-fun-zone.myshopify.com/products/swimming-goggles-with-ear-and-hair-protection,pool-fun-zone.myshopify.com,Pool Fun Zone,,,,,https://pool-fun-zone.myshopify.com/pages/contact-us,[],pages_examined=4,100,80,67,qualified,,
eyewear,site:myshopify.com/products swim goggles,100,Concrete sports product phrase distinct from general sunglasses.,site:myshopify.com/products swim goggles,10,https://8pnded-b4.myshopify.com/products/holoswim-2-pro-ar-smart-swim-goggles?variant=61922020917618&country=US&currency=USD,8pnded-b4.myshopify.com,https://8pnded-b4.myshopify.com/products/holoswim-2-pro-ar-smart-swim-goggles?variant=61922020917618&country=US&currency=USD,https://8pnded-b4.myshopify.com/products/holoswim-2-pro-ar-smart-swim-goggles,8pnded-b4.myshopify.com,AquaFit,support@aquafit.com,https://8pnded-b4.myshopify.com/pages/contact,,,https://8pnded-b4.myshopify.com/pages/contact,[],pages_examined=5,100,100,85,qualified,,
eyewear,site:myshopify.com/products clip on sunglasses,98.5,Concrete format term likely to appear in product titles.,site:myshopify.com/products clip on sunglasses,1,https://dromoland-castle-golf-shop.myshopify.com/products/glasses-case,dromoland-castle-golf-shop.myshopify.com,https://dromoland-castle-golf-shop.myshopify.com/,https://dromoland-castle-golf-shop.myshopify.com/,dromoland-castle-golf-shop.myshopify.com,Dromoland Castle Golf Shop,,,,,,"[""https://www.facebook.com/sharer.php"",""https://twitter.com/share"",""https://pinterest.com/pin/create/button/""]",pages_examined=3,100,40,53,rejected,no_contact_information,
eyewear,site:myshopify.com/products clip on sunglasses,98.5,Concrete format term likely to appear in product titles.,site:myshopify.com/products clip on sunglasses,2,https://clip-ons.myshopify.com/products/safety-shields,clip-ons.myshopify.com,https://clip-ons.myshopify.com/products/safety-shields,https://sunglassesclipon.com/products/safety-shields,sunglassesclipon.com,Safety Shields,info@opsales.com,https://clip-ons.myshopify.com/products/safety-shields,28405168895800,https://clip-ons.myshopify.com/products/safety-shields,https://clip-ons.myshopify.com/pages/contact-us,"[""https://www.facebook.com/sharer.php"",""https://twitter.com/share"",""https://pinterest.com/pin/create/button/"",""https://www.facebook.com/Opsales-Inc-106166148119238"",""https://www.pinterest.com/opsales/_shop/"",""https://www.instagram.com/opsalesinc/""]",pages_examined=3,100,80,94,qualified,,
eyewear,site:myshopify.com/products clip on sunglasses,98.5,Concrete format term likely to appear in product titles.,site:myshopify.com/products clip on sunglasses,3,https://youcefkeala-mobel.myshopify.com/products/hjyfino-5-lenes-magnet-sunglasses-clip-mirrored-clip-on-sunglasses-clip-on-glasses-men-polarized-clip-custom-prescription-myopia,youcefkeala-mobel.myshopify.com,https://youcefkeala-mobel.myshopify.com/products/hjyfino-5-lenes-magnet-sunglasses-clip-mirrored-clip-on-sunglasses-clip-on-glasses-men-polarized-clip-custom-prescription-myopia,https://youcefkeala-mobel.myshopify.com/products/hjyfino-5-lenes-magnet-sunglasses-clip-mirrored-clip-on-sunglasses-clip-on-glasses-men-polarized-clip-custom-prescription-myopia,youcefkeala-mobel.myshopify.com,Sunyez,,,,,,"[""https://www.facebook.com/sharer.php"",""https://twitter.com/share"",""https://pinterest.com/pin/create/button/""]",pages_examined=2,100,80,65,rejected,no_contact_information,
eyewear,site:myshopify.com/products clip on sunglasses,98.5,Concrete format term likely to appear in product titles.,site:myshopify.com/products clip on sunglasses,4,https://jacques-marie-mage.myshopify.com/products/moscova-clip-on,jacques-marie-mage.myshopify.com,https://jacquesmariemage.com/products/moscova-clip-on,https://jacquesmariemage.com/products/moscova-clip-on,jacquesmariemage.com,Jacques Marie Mage,shop@jacquesmariemage.com,https://jacquesmariemage.com/pages/contact,+18773586161,https://jacquesmariemage.com/pages/contact,https://jacquesmariemage.com/pages/contact,"[""https://www.instagram.com/jacquesmariemage/""]",pages_examined=4; duplicate_results=1,100,80,94,qualified,,
eyewear,site:myshopify.com/products clip on sunglasses,98.5,Concrete format term likely to appear in product titles.,site:myshopify.com/products clip on sunglasses,5,https://shady-gators.myshopify.com/products/aperture-eyewear-clip-on,shady-gators.myshopify.com,https://shadygators.in/products/aperture-eyewear-clip-on,https://shadygators.in/products/aperture-eyewear-clip-on,shadygators.in,Shady Gators,shop@shadygators.in,https://shadygators.in/products/aperture-eyewear-clip-on,+917011056597,https://shadygators.in/products/aperture-eyewear-clip-on,https://shadygators.in/pages/contact,"[""https://www.instagram.com/shadygators.official""]",pages_examined=5,100,80,94,qualified,,
