shop_type,query,query_score,raw_results,relevant_results,unique_hosts,duplicate_products,estimated_results,next_page_available,market_signal,seasonality,query_generation_reason,source_urls,status,rejection_reason
eyewear,site:myshopify.com/products cat eye glasses,73,10,10,6,4,6550,true,Cat-eye styling is identified as a resurging fashion frame trend.,growing,Distinctive high-intent style phrase commonly used in product titles.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report""]",rejected,not_selected
eyewear,site:myshopify.com/products round frame glasses,76,10,10,7,3,3680,true,Round frames are a durable shape-based shopping category.,evergreen,Combines a recognized frame shape with the product noun.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report""]",rejected,not_selected
eyewear,site:myshopify.com/products square frame glasses,76,10,10,7,3,19200,true,Square frames are a core shape category across prescription and non-prescription eyewear.,evergreen,Specific frame-style phrase with broad product coverage.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report""]",rejected,not_selected
eyewear,site:myshopify.com/products oval frame glasses,92.13,10,10,8,2,6230,true,Oval is a standard frame-shape segment used in eyewear merchandising.,evergreen,Targets a concrete shape-based product family.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report""]",selected,
eyewear,site:myshopify.com/products aviator sunglasses,67,10,10,4,6,6600,true,Evergreen recognizable sunglasses style with broad global retail presence.,evergreen,High-intent style phrase likely to match product-page titles.,"[""https://www.grandviewresearch.com/industry-analysis/sunglasses-market""]",rejected,not_selected
eyewear,site:myshopify.com/products oversized sunglasses,67,10,10,4,6,13000,true,Fashion-led sunglasses benefit from consumers treating eyewear as an outfit accessory.,mixed,Concrete silhouette term with strong merchandising utility.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry"",""https://www.grandviewresearch.com/industry-analysis/sunglasses-market""]",rejected,not_selected
eyewear,site:myshopify.com/products tortoise shell glasses,76,10,10,7,3,4730,true,Tortoise coloring is a persistent frame-material and style descriptor.,evergreen,Product-title color/style vocabulary with clear purchase intent.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report""]",rejected,not_selected
eyewear,site:myshopify.com/products metal frame glasses,73,10,10,6,4,37100,true,Metal is a major eyewear frame-material segment.,evergreen,Uses a standard material descriptor and product category.,"[""https://www.grandviewresearch.com/industry-analysis/sunglasses-market"",""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report""]",rejected,not_selected
eyewear,site:myshopify.com/products acetate frame glasses,73,10,10,6,4,2100,true,"Acetate frames are associated with lightweight, fashion-oriented, and premium offerings.",growing,Specific purchasable construction phrase suitable for Shopify discovery.,"[""https://www.fortunebusinessinsights.com/sunglasses-market-116210""]",rejected,not_selected
eyewear,site:myshopify.com/products clear frame glasses,76,10,10,7,3,19100,true,Clear frames are a recognizable style variation across optical product catalogs.,evergreen,Common retail descriptor with a distinct visual product family.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report""]",rejected,not_selected
eyewear,site:myshopify.com/products kids glasses,64,10,10,8,2,44800,true,Evergreen replacement and fit-driven category serving children and parents.,evergreen,"Short, direct product phrase used by retailers.",[],rejected,not_selected
eyewear,site:myshopify.com/products safety glasses,68,10,9,5,5,5490,true,"Functional protective eyewear is evergreen across work, workshop, and hobby use cases.",evergreen,Highly concrete product category with broad demand.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry""]",rejected,not_selected
eyewear,site:myshopify.com/products swim goggles,100,10,10,10,0,2740,true,Established sport-specific eyewear category with recurring seasonal demand.,seasonal,Concrete sports product phrase distinct from general sunglasses.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry""]",selected,
eyewear,site:myshopify.com/products smart glasses,97,10,10,9,1,16500,true,Emerging technology-led category supported by increasing attention to AI and connected eyewear.,growing,Direct category term for an emerging purchasable product type.,"[""https://lp.euromonitor.com/the-world-market-for-eyewear/report"",""https://www.euromonitor.com/top-five-trends-in-eyewear/report""]",selected,
eyewear,site:myshopify.com/products photochromic glasses,85,10,10,10,0,520,true,Growing adaptive-lens category spanning everyday optical and outdoor use.,growing,Captures optical listings that may not use the sunglasses label.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry"",""https://www.fortunebusinessinsights.com/sunglasses-market-116210""]",rejected,not_selected
